Category	View	Admin path (example)	UI states	Relevance	Review comments	UI notes
	Move block	/pages/60/edit/				
	Delete block	/pages/60/edit/				
	Drag and drop block	/pages/60/edit/				
	Copy block	/pages/60/edit/				
	Nested StreamField	/pages/60/edit/				
	TableBlock	/pages/60/edit/				Not broken down because of the work involved
InlinePanel						
	InlinePanel	/pages/60/edit/	Add, Move, Delete			
ModelAdmin						
	View all	/base/people/	Empty, Pagination, Sort by <column>			
	Edit	/base/people/edit/1/	Validation error, Success			
	Add	/base/people/create/	Validation error, Success			
	Delete	/base/people/delete/1/	Success			
Images						
	View all	/images/	Empty, Pagination			
	Search	/images/?q=bread	No results, Pagination			
	Collections filter	/images/?collection_id=2	No results, Pagination			
	Edit	/images/47/	File not found error on load, Validation error, Focal point set, Success			
	Add an image	/images/add/	File not found error on load, Validation error, Focal point set, Success			
	Delete	/images/47/delete/	Success			
	Image URL generator	/images/47/generate_url/				
Media						
	View all	/media/	Empty, Pagination, Sort by <column>			Third-party wagtailmedia extension. Not part of Wagtail core
	Search	/media/?q=bread	No results, Pagination			
	Edit	/media/edit/1/	Validation error, Success			
	Add audio	/media/audio/add/	Validation error, Uploading, Success			
	Add video	/media/video/add/	Validation error, Uploading, Success			
	Delete	/images/delete/1/	Success			
Documents						
	View all	/documents/	Empty, Pagination, Sort by <column>			
	Search	/documents/?q=wagtail	No results, Pagination			
	Collections filter	/documents/?collection_id=2	No results, Pagination			
	Edit	/documents/edit/1/	File not found error on load, Validation error, Success			
	Add a document	/documents/multiple/add/	Loading, Validation error, Success			
	Delete	/documents/delete/1/	Success			
Snippets						
	View all types	/snippets/	Empty			
	View all	/snippets/base/people/	Empty, Pagination, Delete selected			
	Search snippets	/snippets/base/people/?q=test	No results			
	Edit	/snippets/base/people/1/	Validation error, Success			
	Add	/snippets/base/people/add/	Validation error, Success			
	Delete	/snippets/base/people/1/delete/	Success			
Forms						
	View all	/forms/	Empty, Pagination			
	View submissions	/forms/submissions/69/	Sort by <column>, Delete selected			
	Submissions date picker	/forms/submissions/69/				
	Submissions date range	/forms/submissions/69/?date_from=2017-01-01&date_to=2050-01-01&action=filter	No results			
	Submissions CSV download	/forms/submissions/69/				
Users						
	View all	/users/	Sort by <column>, Pagination			
	Search	/users/?q=admin	No results, Pagination			
	Edit	/users/3/	Validation error, Success			
	Edit roles	/users/3/#roles				
	Add	/users/add/	Validation error, Success			
	Add roles	/users/add/#roles				
	Delete	/users/4/delete/	Success			
Groups						
	View all	/groups/	Empty, Pagination			
	Search	/groups/?q=edi	No results, Pagination			
	Edit	/groups/1/	Validation error, Success			
	Add a group	/groups/new/	Validation error, Success			
	Add permissions	/groups/1/				
	Delete permissions	/groups/1/				
	Delete	/groups/1/delete/	Success			
Sites						
	View all	/sites/	Sort by <column>			
	Edit	/sites/2/	Validation error, Success			
	Add a site	/sites/new/	Validation error, Success			
	Delete	/sites/2/delete/	Success			
Collections						
	View all	/collections/	Empty			
	Edit	/collections/2/	Validation error, Success			
	Set privacy	/collections/2/	Validation error, Success			
	Add a collection	/collections/add/	Validation error, Success			
	Delete	/collections/2/delete/	Success			
Redirects						
	View all	/redirects/	Empty, Sort by <column>, Pagination			
	Search	/redirects/?q=test	No results, Pagination			
	Edit	/redirects/1/	Validation error, Success			
	Add	/redirects/add/				
	Add / edit pages chooser	/redirects/add/	Loading, Search, Search no results, Explorer navigation			
Promoted search						
	View all	/searchpicks/	Empty, Pagination			
	Search	/searchpicks/?q=test	No results, Pagination			
	Edit	/searchpicks/5/	Validation error, Success			
	Add / Edit search term chooser	/searchpicks/5/	Loading, Search, Search no results, Pagination			
	Add / edit pages chooser	/searchpicks/5/	Loading, Search, Search no results, Explorer navigation			
	Add results	/searchpicks/add/	Validation error, Success			
	Delete	/searchpicks/5/delete/	Success			
Styleguide						
	Styleguide	/styleguide/				
Site settings						
	Site settings	/				
User account						
	Account actions	/account/				
	Change profile picture	/account/change_avatar/	Validation error			
	Change email	/account/change_email/	Validation error, Success			
	Change password	/account/change_password/	Validation error, Success			
	Notification preferences	/account/notification_preferences/	Success			
	Language preferences	/account/language_preferences/	Success			
	Current time zone	/account/current_time_zone/	Success			
